benchmark,cores,frequency,power,count,mean,std,min,25%,50%,75%,max
klsm128,1,1200000,105.1919891,5.0,4276020.0,3235.344108437308,4272978.0,4274221.0,4275534.0,4275949.0,4281418.0
klsm128,1,1500000,108.71187750000001,5.0,5436850.2,11922.009696355728,5419918.0,5436378.0,5436920.0,5437413.0,5453622.0
klsm128,1,2000000,112.11233815,5.0,7429546.8,2910.663790271903,7425717.0,7427940.0,7429980.0,7430646.0,7433451.0
klsm128,1,2500000,118.0229004,5.0,9384900.0,28495.34814667124,9336077.0,9389402.0,9392969.0,9395223.0,9410829.0
klsm128,1,2800000,119.3026581,5.0,10577751.8,42607.373343119856,10530673.0,10531801.0,10603657.0,10609107.0,10613521.0
klsm128,8,1200000,119.75895690000002,5.0,30853356.6,278004.1651473949,30403807.0,30763233.0,30998169.0,31050774.0,31050800.0
klsm128,8,1500000,128.6572663,5.0,38913309.8,385152.07211009524,38257501.0,38914974.0,39014511.0,39180681.0,39198882.0
klsm128,8,2000000,141.63827215,5.0,51286058.8,666987.2231378949,50482789.0,50636880.0,51690485.0,51803893.0,51816247.0
klsm128,8,2500000,158.41047355,5.0,63861923.4,620169.6865752147,62924820.0,63638684.0,63940807.0,64304054.0,64501252.0
klsm128,8,2800000,170.2627289,5.0,70426064.2,1338059.6976890457,68660430.0,69326109.0,71191899.0,71328867.0,71623016.0
klsm128,16,1200000,136.8464783,5.0,55123796.8,241206.0127747648,54714726.0,55172836.0,55184280.0,55188557.0,55358585.0
klsm128,16,1500000,149.3555603,5.0,68206813.0,279369.14598072565,67788360.0,68151152.0,68252352.0,68279546.0,68562655.0
klsm128,16,2000000,171.60168754999998,5.0,89316347.8,801556.5835963796,88126149.0,89110394.0,89241937.0,89941706.0,90161553.0
klsm128,16,2500000,204.41497800000002,5.0,109184602.4,737388.3739097735,107903912.0,109265418.0,109418555.0,109608273.0,109726854.0
klsm128,16,2800000,227.85778804999995,5.0,119787310.4,1192709.085026311,117727179.0,119839680.0,120221072.0,120483623.0,120664998.0
klsm128,24,1200000,140.19970095,5.0,68519191.8,326644.3478750245,68096107.0,68358745.0,68504242.0,68672267.0,68964598.0
klsm128,24,1500000,152.30875545000004,5.0,77808008.0,1539009.3208819432,75810564.0,76592589.0,78544093.0,78600226.0,79492568.0
klsm128,24,2000000,174.87047420000002,5.0,91883177.6,633826.118428627,91280835.0,91396502.0,91678128.0,92277307.0,92783116.0
klsm128,24,2500000,203.68803705,5.0,104908459.2,1414360.3867910397,102901204.0,104196579.0,105343598.0,105472466.0,106628449.0
klsm128,24,2800000,223.52853395000002,5.0,111706612.2,1120135.0648458428,110031714.0,111452430.0,111571982.0,112712567.0,112764368.0
klsm128,32,1200000,141.08573905,5.0,77866462.4,542827.8379747118,77151770.0,77418560.0,78184880.0,78219489.0,78357613.0
klsm128,32,1500000,153.0751495,5.0,85837166.0,1101091.2440899257,84539740.0,84785511.0,86339735.0,86533556.0,86987288.0
klsm128,32,2000000,175.07254025000003,5.0,98628125.4,1638779.9430288984,96579540.0,97591742.0,98634164.0,99562750.0,100772431.0
klsm128,32,2500000,204.2972138,5.0,112932619.2,1503035.6199746898,111490995.0,111576027.0,112607080.0,114236678.0,114752316.0
klsm128,32,2800000,221.95789495,5.0,119536674.8,1082842.8121736783,118708915.0,118730413.0,118800590.0,120674681.0,120768775.0
klsm256,1,1200000,105.1919891,5.0,4060022.6,2771.754282038724,4055716.0,4059596.0,4060296.0,4061257.0,4063248.0
klsm256,1,1500000,108.71187750000001,5.0,5178071.2,2036.761817199056,5175838.0,5176498.0,5177647.0,5180151.0,5180222.0
klsm256,1,2000000,112.11233815,5.0,7061259.6,10312.398183739804,7047777.0,7057829.0,7059886.0,7064802.0,7076004.0
klsm256,1,2500000,118.0229004,5.0,8944982.2,2593.6487233239586,8942242.0,8942679.0,8944764.0,8947293.0,8947933.0
klsm256,1,2800000,119.3026581,5.0,10081464.0,21352.093433665937,10045903.0,10078067.0,10090985.0,10092747.0,10099618.0
klsm256,8,1200000,119.75895690000002,5.0,30640425.0,88139.06445214857,30567361.0,30577827.0,30609375.0,30664804.0,30782758.0
klsm256,8,1500000,128.6572663,5.0,38309775.4,130431.35368001054,38156820.0,38199571.0,38326598.0,38402244.0,38463644.0
klsm256,8,2000000,141.63827215,5.0,50888670.6,220280.53610067323,50600472.0,50819979.0,50865404.0,50949296.0,51208202.0
klsm256,8,2500000,158.41047355,5.0,63510110.4,175231.46301763278,63338944.0,63393871.0,63431010.0,63635942.0,63750785.0
klsm256,8,2800000,170.2627289,5.0,70378933.0,434764.26493848365,69657256.0,70354940.0,70460769.0,70648997.0,70772703.0
klsm256,16,1200000,136.8464783,5.0,56453503.6,292928.7329655457,56021404.0,56417162.0,56424780.0,56578016.0,56826156.0
klsm256,16,1500000,149.3555603,5.0,70246260.0,387104.76627587527,69667923.0,70109747.0,70307854.0,70452212.0,70693564.0
klsm256,16,2000000,171.60168754999998,5.0,92358375.0,220578.32225311716,92048685.0,92232621.0,92421547.0,92475181.0,92613841.0
klsm256,16,2500000,204.41497800000002,5.0,112997266.8,398129.40627853654,112634152.0,112862237.0,112884272.0,112925723.0,113679950.0
klsm256,16,2800000,227.85778804999995,5.0,124462006.6,386443.9308681144,124061766.0,124250992.0,124426800.0,124483211.0,125087264.0
klsm256,24,1200000,140.19970095,5.0,75688264.6,642335.9143663072,75019963.0,75112737.0,75689937.0,76084573.0,76534113.0
klsm256,24,1500000,152.30875545000004,5.0,87431552.6,789180.3715328962,86541140.0,86993817.0,87093004.0,88224768.0,88305034.0
klsm256,24,2000000,174.87047420000002,5.0,108997959.0,850537.3553689455,108102451.0,108540571.0,108568325.0,109655531.0,110122917.0
klsm256,24,2500000,203.68803705,5.0,125314740.6,1091721.6953156146,123941760.0,124678522.0,125401552.0,125718148.0,126833721.0
klsm256,24,2800000,223.52853395000002,5.0,136012054.0,1803398.9923587348,132890251.0,136135660.0,136613666.0,137125752.0,137294941.0
klsm256,32,1200000,141.08573905,5.0,93640018.8,1861777.5869455244,91612904.0,93002015.0,93015246.0,93953314.0,96616615.0
klsm256,32,1500000,153.0751495,5.0,105283416.0,966270.3723314195,104734975.0,104798860.0,104867856.0,105013390.0,107001999.0
klsm256,32,2000000,175.07254025000003,5.0,124577268.8,1658412.6123064791,122426841.0,123423599.0,124776818.0,125823679.0,126435407.0
klsm256,32,2500000,204.2972138,5.0,143309015.8,3651993.8428925644,138626708.0,140955790.0,143910252.0,144972945.0,148079384.0
klsm256,32,2800000,221.95789495,5.0,154104561.4,1362293.0615147755,152392129.0,153495124.0,153884131.0,154727909.0,156023514.0
