benchmark,cores,frequency,power,count,mean,std,min,25%,50%,75%,max
klsm128,1,1200000,105.2392272,5.0,4270397.2,15060.460175572325,4243749.0,4273766.0,4276790.0,4277757.0,4279924.0
klsm128,1,1500000,108.82294319999998,5.0,5427029.6,18293.94474409497,5396510.0,5428342.0,5429338.0,5436097.0,5444861.0
klsm128,1,2000000,121.51262814999998,5.0,7423995.6,1706.495619683801,7422630.0,7423184.0,7423271.0,7423965.0,7426928.0
klsm128,1,2500000,133.90330820000003,5.0,9395637.8,8996.94299192787,9387366.0,9392146.0,9393688.0,9393970.0,9411019.0
klsm128,1,2800000,135.80541089999997,5.0,10593276.4,25006.40036670612,10549131.0,10598054.0,10603933.0,10606234.0,10609030.0
klsm128,8,1200000,120.45274045,5.0,30840140.8,258084.39901067247,30556223.0,30569754.0,30970027.0,30998610.0,31106090.0
klsm128,8,1500000,129.37372439999996,5.0,38641226.0,444707.7480059235,38187736.0,38319669.0,38581411.0,38803772.0,39313542.0
klsm128,8,2000000,146.07653505000002,5.0,51648096.4,767419.1972385757,50361682.0,51510379.0,52091304.0,52091859.0,52185258.0
klsm128,8,2500000,168.45025009999998,5.0,63836410.8,545235.9726904489,63162494.0,63527593.0,63735327.0,64233324.0,64523316.0
klsm128,8,2800000,179.97267764999998,5.0,70585275.0,747256.6908516109,69777876.0,70059119.0,70340895.0,71364863.0,71383622.0
klsm128,16,1200000,137.77241205,5.0,54971965.0,266319.14541767363,54655755.0,54801548.0,54919760.0,55183168.0,55299594.0
klsm128,16,1500000,150.83972475,5.0,68683006.4,234804.01908038117,68312387.0,68633590.0,68744523.0,68782646.0,68941886.0
klsm128,16,2000000,174.53813774999998,5.0,89449511.8,382196.10243263864,88944377.0,89163025.0,89628164.0,89639212.0,89872781.0
klsm128,16,2500000,207.63787850000003,5.0,109377578.2,837069.8110493533,107903635.0,109613342.0,109648420.0,109731972.0,109990522.0
klsm128,16,2800000,230.20166635,5.0,119065212.6,626754.3625187622,118380683.0,118452604.0,119200233.0,119516032.0,119776511.0
