benchmark,cores,efficiency,frequency,power,throughput
klsm128,1,53217.723638602714,1200000,77.26228629999999,4111723
klsm128,1,53293.32326527336,1200000,77.26228629999999,4117564
klsm128,1,53301.580851614024,1200000,77.26228629999999,4118202
klsm128,1,53354.25855758038,1200000,77.26228629999999,4122272
klsm128,1,53414.663189950166,1200000,77.26228629999999,4126939
klsm128,1,66237.68475825146,1500000,78.97620545,5231201
klsm128,1,66553.60269654485,1500000,78.97620545,5256151
klsm128,1,66576.8248808667,1500000,78.97620545,5257985
klsm128,1,66589.57555677296,1500000,78.97620545,5258992
klsm128,1,66605.71965983206,1500000,78.97620545,5260267
klsm128,1,77348.45684906737,1800000,82.67826224999999,6395036
klsm128,1,77930.52036480122,1800000,82.67826224999999,6443160
klsm128,1,77941.47850513151,1800000,82.67826224999999,6444066
klsm128,1,78004.65109557864,1800000,82.67826224999999,6449289
klsm128,1,78056.32126720226,1800000,82.67826224999999,6453561
klsm128,1,91087.83929515562,2100000,83.18132320000001,7576807
klsm128,1,91536.0769351166,2100000,83.18132320000001,7614092
klsm128,1,91564.49677636288,2100000,83.18132320000001,7616456
klsm128,1,91608.4008627552,2100000,83.18132320000001,7620108
klsm128,1,91685.36525516583,2100000,83.18132320000001,7626510
klsm128,1,100357.01201086999,2300000,83.57954099999999,8387793
klsm128,1,100387.35436462855,2300000,83.57954099999999,8390329
klsm128,1,100414.50215669407,2300000,83.57954099999999,8392598
klsm128,1,100441.0158222812,2300000,83.57954099999999,8394814
klsm128,1,100524.3376486119,2300000,83.57954099999999,8401778
klsm128,8,293955.32457366976,1200000,101.68139339999999,29889787
klsm128,8,299432.56068715523,1200000,101.68139339999999,30446720
klsm128,8,300565.69818800304,1200000,101.68139339999999,30561939
klsm128,8,300883.602958179,1200000,101.68139339999999,30594264
klsm128,8,301695.0198481446,1200000,101.68139339999999,30676770
klsm128,8,353132.5016779979,1500000,109.73911439999999,38752448
klsm128,8,355217.2004770617,1500000,109.73911439999999,38981221
klsm128,8,356078.552425424,1500000,109.73911439999999,39075745
klsm128,8,357037.20787453343,1500000,109.73911439999999,39180947
klsm128,8,357113.2427509366,1500000,109.73911439999999,39189291
klsm128,8,388816.19802747754,1800000,120.27341000000001,46764250
klsm128,8,389691.67000420124,1800000,120.27341000000001,46869546
klsm128,8,392623.1658352415,1800000,120.27341000000001,47222127
klsm128,8,393465.7377719647,1800000,120.27341000000001,47323466
klsm128,8,395111.9287297167,1800000,120.27341000000001,47521459
klsm128,8,410394.6927542637,2100000,133.42352610000003,54756307
klsm128,8,410855.4061066745,2100000,133.42352610000003,54817777
klsm128,8,411646.33108883176,2100000,133.42352610000003,54923305
klsm128,8,413602.9500422563,2100000,133.42352610000003,55184364
klsm128,8,414741.6472753525,2100000,133.42352610000003,55336293
klsm128,8,427535.7600134239,2300000,140.9100282,60244076
klsm128,8,428054.34624134155,2300000,140.9100282,60317150
klsm128,8,428352.4868388324,2300000,140.9100282,60359161
klsm128,8,428876.37432180997,2300000,140.9100282,60432982
klsm128,8,431934.88623544254,2300000,140.9100282,60863957
klsm128,16,466432.80876404495,1200000,114.18737489999998,53260738
klsm128,16,467204.426467641,1200000,114.18737489999998,53348847
klsm128,16,471486.4059809471,1200000,114.18737489999998,53837795
klsm128,16,472178.88183538587,1200000,114.18737489999998,53916867
klsm128,16,474670.17301577365,1200000,114.18737489999998,54201341
klsm128,16,532416.0283351479,1500000,126.15376589999998,67166287
klsm128,16,535173.3855770691,1500000,126.15376589999998,67514138
klsm128,16,535677.6194344271,1500000,126.15376589999998,67577749
klsm128,16,538226.2234947678,1500000,126.15376589999998,67899265
klsm128,16,538304.4058615773,1500000,126.15376589999998,67909128
klsm128,16,546818.390362949,1800000,145.02292789999998,79301204
klsm128,16,549307.3898972082,1800000,145.02292789999998,79662166
klsm128,16,555300.0630047272,1800000,145.02292789999998,80531241
klsm128,16,555689.7875870289,1800000,145.02292789999998,80587760
klsm128,16,557982.0458169085,1800000,145.02292789999998,80920190
klsm128,16,564098.3786617053,2100000,163.2937684,92113750
klsm128,16,567923.827765616,2100000,163.2937684,92738422
klsm128,16,568072.9822632961,2100000,163.2937684,92762778
klsm128,16,571809.6282233879,2100000,163.2937684,93372949
klsm128,16,572983.9718733565,2100000,163.2937684,93564712
klsm128,16,569477.1010676229,2300000,175.4548371,99917512
klsm128,16,569917.7557755688,2300000,175.4548371,99994827
klsm128,16,573969.5163981318,2300000,175.4548371,100705728
klsm128,16,575150.652258649,2300000,175.4548371,100912964
klsm128,16,582743.6147669479,2300000,175.4548371,102245186
klsm128,24,634965.6563160955,1200000,114.15278020000001,72483095
klsm128,24,635823.2788797201,1200000,114.15278020000001,72580995
klsm128,24,635932.8863722234,1200000,114.15278020000001,72593507
klsm128,24,637757.300982495,1200000,114.15278020000001,72801769
klsm128,24,641997.732088526,1200000,114.15278020000001,73285826
klsm128,24,705708.5794758806,1500000,125.98599845000001,88909400
klsm128,24,706872.9310848272,1500000,125.98599845000001,89056092
klsm128,24,710630.4756201262,1500000,125.98599845000001,89529490
klsm128,24,720555.634093163,1500000,125.98599845000001,90779921
klsm128,24,722188.4663327045,1500000,125.98599845000001,90985635
klsm128,24,725350.6969975929,1800000,144.63303535,104909673
klsm128,24,732931.7589406451,1800000,144.63303535,106006145
klsm128,24,735821.7141917986,1800000,144.63303535,106424128
klsm128,24,737155.6348934773,1800000,144.63303535,106617057
klsm128,24,744479.653209463,1800000,144.63303535,107676352
klsm128,24,738440.051860877,2100000,162.11434319999998,119711724
klsm128,24,746096.7772036103,2100000,162.11434319999998,120952989
klsm128,24,747462.0851438642,2100000,162.11434319999998,121174325
klsm128,24,748788.9819239635,2100000,162.11434319999998,121389434
klsm128,24,755930.0527086244,2100000,162.11434319999998,122547104
klsm128,24,739407.664710041,2300000,174.38790285,128943752
klsm128,24,747315.9540894153,2300000,174.38790285,130322862
klsm128,24,747365.8944801056,2300000,174.38790285,130331571
klsm128,24,750850.5283914538,2300000,174.38790285,130939249
klsm128,24,758164.9176303516,2300000,174.38790285,132214790
klsm16,1,39573.92372438372,1200000,76.63773805,3032856
klsm16,1,39629.731738931456,1200000,76.63773805,3037133
klsm16,1,39665.65398911849,1200000,76.63773805,3039886
klsm16,1,39683.51725119841,1200000,76.63773805,3041255
klsm16,1,39690.615581783866,1200000,76.63773805,3041799
klsm16,1,49590.82541562821,1500000,79.01092524999999,3918217
klsm16,1,49647.93144224065,1500000,79.01092524999999,3922729
klsm16,1,49683.36957932284,1500000,79.01092524999999,3925529
klsm16,1,49720.88337871984,1500000,79.01092524999999,3928493
klsm16,1,49759.52360461695,1500000,79.01092524999999,3931546
klsm16,1,59530.14297803386,1800000,79.57178940000001,4736920
klsm16,1,59596.41018202362,1800000,79.57178940000001,4742193
klsm16,1,59608.927180918705,1800000,79.57178940000001,4743189
klsm16,1,59612.49628502133,1800000,79.57178940000001,4743473
klsm16,1,59653.17653143036,1800000,79.57178940000001,4746710
klsm16,1,65335.263805883165,2100000,84.49098815000002,5520241
klsm16,1,65345.028160852424,2100000,84.49098815000002,5521066
klsm16,1,65578.47317589927,2100000,84.49098815000002,5540790
klsm16,1,65719.54147514605,2100000,84.49098815000002,5552709
klsm16,1,66205.48679190704,2100000,84.49098815000002,5593767
klsm16,1,73846.9066177641,2300000,83.1904176,6143355
klsm16,1,74273.79472608874,2300000,83.1904176,6178868
klsm16,1,74342.57668638029,2300000,83.1904176,6184590
klsm16,1,74394.61392966971,2300000,83.1904176,6188919
klsm16,1,74406.35807074011,2300000,83.1904176,6189896
klsm16,8,87427.30012376657,1200000,101.0596803,8835375
klsm16,8,87800.30743873233,1200000,101.0596803,8873071
klsm16,8,87820.6122724099,1200000,101.0596803,8875123
klsm16,8,87847.94265770105,1200000,101.0596803,8877885
klsm16,8,87901.95034883759,1200000,101.0596803,8883343
klsm16,8,101064.11103771838,1500000,110.42534175,11160039
klsm16,8,101270.64877297515,1500000,110.42534175,11182846
klsm16,8,101332.79936170086,1500000,110.42534175,11189709
klsm16,8,101595.3930701781,1500000,110.42534175,11218706
klsm16,8,101622.11700829986,1500000,110.42534175,11221657
klsm16,8,110795.83570305815,1800000,120.43082589999999,13343234
klsm16,8,111270.19099849918,1800000,120.43082589999999,13400361
klsm16,8,111569.79037208448,1800000,120.43082589999999,13436442
klsm16,8,111581.77235418263,1800000,120.43082589999999,13437885
klsm16,8,112064.82143705037,1800000,120.43082589999999,13496059
klsm16,8,116345.9244059624,2100000,133.54955130000002,15537946
klsm16,8,116484.45725627831,2100000,133.54955130000002,15556447
klsm16,8,116692.17790924916,2100000,133.54955130000002,15584188
klsm16,8,116785.35680711042,2100000,133.54955130000002,15596632
klsm16,8,116805.87353646914,2100000,133.54955130000002,15599372
klsm16,8,120194.7345840216,2300000,141.35087579999998,16989631
klsm16,8,120496.75605900987,2300000,141.35087579999998,17032322
klsm16,8,120512.08670332131,2300000,141.35087579999998,17034489
klsm16,8,120580.80930546312,2300000,141.35087579999998,17044203
klsm16,8,120618.62300820637,2300000,141.35087579999998,17049548
klsm16,16,68296.28150919567,1200000,114.9520417,7850797
