,benchmark,cores,frequency,power,throughput
1,klsm128,1,1200000,105.2392272,4243749
0,klsm128,1,1200000,105.2392272,4273766
4,klsm128,1,1200000,105.2392272,4276790
3,klsm128,1,1200000,105.2392272,4277757
2,klsm128,1,1200000,105.2392272,4279924
50,klsm128,1,1500000,108.82294319999998,5396510
51,klsm128,1,1500000,108.82294319999998,5428342
53,klsm128,1,1500000,108.82294319999998,5429338
54,klsm128,1,1500000,108.82294319999998,5436097
52,klsm128,1,1500000,108.82294319999998,5444861
100,klsm128,1,2000000,121.51262814999998,7422630
104,klsm128,1,2000000,121.51262814999998,7423184
103,klsm128,1,2000000,121.51262814999998,7423271
101,klsm128,1,2000000,121.51262814999998,7423965
102,klsm128,1,2000000,121.51262814999998,7426928
154,klsm128,1,2500000,133.90330820000003,9387366
153,klsm128,1,2500000,133.90330820000003,9392146
151,klsm128,1,2500000,133.90330820000003,9393688
150,klsm128,1,2500000,133.90330820000003,9393970
152,klsm128,1,2500000,133.90330820000003,9411019
202,klsm128,1,2800000,135.80541089999997,10549131
200,klsm128,1,2800000,135.80541089999997,10598054
203,klsm128,1,2800000,135.80541089999997,10603933
201,klsm128,1,2800000,135.80541089999997,10606234
204,klsm128,1,2800000,135.80541089999997,10609030
11,klsm128,8,1200000,120.45274045,30556223
14,klsm128,8,1200000,120.45274045,30569754
13,klsm128,8,1200000,120.45274045,30970027
12,klsm128,8,1200000,120.45274045,30998610
10,klsm128,8,1200000,120.45274045,31106090
63,klsm128,8,1500000,129.37372439999996,38187736
60,klsm128,8,1500000,129.37372439999996,38319669
62,klsm128,8,1500000,129.37372439999996,38581411
61,klsm128,8,1500000,129.37372439999996,38803772
64,klsm128,8,1500000,129.37372439999996,39313542
114,klsm128,8,2000000,146.07653505000002,50361682
111,klsm128,8,2000000,146.07653505000002,51510379
113,klsm128,8,2000000,146.07653505000002,52091304
112,klsm128,8,2000000,146.07653505000002,52091859
110,klsm128,8,2000000,146.07653505000002,52185258
162,klsm128,8,2500000,168.45025009999998,63162494
160,klsm128,8,2500000,168.45025009999998,63527593
164,klsm128,8,2500000,168.45025009999998,63735327
163,klsm128,8,2500000,168.45025009999998,64233324
161,klsm128,8,2500000,168.45025009999998,64523316
210,klsm128,8,2800000,179.97267764999998,69777876
214,klsm128,8,2800000,179.97267764999998,70059119
211,klsm128,8,2800000,179.97267764999998,70340895
212,klsm128,8,2800000,179.97267764999998,71364863
213,klsm128,8,2800000,179.97267764999998,71383622
21,klsm128,16,1200000,137.77241205,54655755
20,klsm128,16,1200000,137.77241205,54801548
22,klsm128,16,1200000,137.77241205,54919760
24,klsm128,16,1200000,137.77241205,55183168
23,klsm128,16,1200000,137.77241205,55299594
70,klsm128,16,1500000,150.83972475,68312387
71,klsm128,16,1500000,150.83972475,68633590
74,klsm128,16,1500000,150.83972475,68744523
73,klsm128,16,1500000,150.83972475,68782646
72,klsm128,16,1500000,150.83972475,68941886
122,klsm128,16,2000000,174.53813774999998,88944377
124,klsm128,16,2000000,174.53813774999998,89163025
121,klsm128,16,2000000,174.53813774999998,89628164
120,klsm128,16,2000000,174.53813774999998,89639212
123,klsm128,16,2000000,174.53813774999998,89872781
172,klsm128,16,2500000,207.63787850000003,107903635
174,klsm128,16,2500000,207.63787850000003,109613342
170,klsm128,16,2500000,207.63787850000003,109648420
173,klsm128,16,2500000,207.63787850000003,109731972
171,klsm128,16,2500000,207.63787850000003,109990522
223,klsm128,16,2800000,230.20166635,118380683
222,klsm128,16,2800000,230.20166635,118452604
220,klsm128,16,2800000,230.20166635,119200233
224,klsm128,16,2800000,230.20166635,119516032
221,klsm128,16,2800000,230.20166635,119776511
34,klsm128,24,1200000,139.98499455,65374970
32,klsm128,24,1200000,139.98499455,67020565
30,klsm128,24,1200000,139.98499455,67729445
33,klsm128,24,1200000,139.98499455,68482036
31,klsm128,24,1200000,139.98499455,68769312
82,klsm128,24,1500000,152.70839840000002,80780297
83,klsm128,24,1500000,152.70839840000002,81282860
80,klsm128,24,1500000,152.70839840000002,83431146
81,klsm128,24,1500000,152.70839840000002,83472616
84,klsm128,24,1500000,152.70839840000002,83747168
134,klsm128,24,2000000,175.27284849999998,101868374
133,klsm128,24,2000000,175.27284849999998,102485600
132,klsm128,24,2000000,175.27284849999998,103214866
130,klsm128,24,2000000,175.27284849999998,103604078
131,klsm128,24,2000000,175.27284849999998,103750027
183,klsm128,24,2500000,205.7424805,121644001
181,klsm128,24,2500000,205.7424805,122409945
182,klsm128,24,2500000,205.7424805,123471425
184,klsm128,24,2500000,205.7424805,123505667
180,klsm128,24,2500000,205.7424805,123550373
231,klsm128,24,2800000,223.51204835000004,131208636
233,klsm128,24,2800000,223.51204835000004,131594336
232,klsm128,24,2800000,223.51204835000004,133652198
230,klsm128,24,2800000,223.51204835000004,133858846
